Sigla;Nome;Bacia ;Tipo;Operador;Latitude;Longitude;Lâmina D'água (m);Capacidade de Processamento Petróleo (bbl/dia);Capacidade de Processamento Gás (Mil m³/dia)
PPE1B;PLATAFORMA DE PESCADA 1B;Potiguar ;FIXA;Petrobras;-04:42:13,223;-36:48:36,543;20;3140;800
PPE02;PLATAFORMA DE PESCADA 2;Potiguar ;FIXA;Petrobras;-04:42:53,946;-36:50:17,333;25;630;200
PPE03;PLATAFORMA DE PESCADA 3;Potiguar ;FIXA;Petrobras;-04:41:03,913;-36:49:29,409;25;0;0
FPPRM;PLATAFORMA DE PIRANEMA;Sergipe;FPSO;Petrobras;-11:22:12,282;-36:59:18,444;1090;30000;2400
PRA-1;PLATAFORMA DE REBOMBEIO AUTÔNOMA 1;Campos ;FIXA;Petrobras;-22:10:16,430;-40:07:18,471;100;0;0
PUB01;PLATAFORMA DE UBARANA 1;Potiguar ;FIXA;Petrobras;-04:54:54,905;-36:20:27,832;17;0;0
PUB10;PLATAFORMA DE UBARANA 10;Potiguar ;FIXA;Petrobras;-04:57:08,166;-36:21:22,609;13;0;0
PUB11;PLATAFORMA DE UBARANA 11;Potiguar ;FIXA;Petrobras;-04:56:15,262;-36:20:37,119;13;0;0
PUB12;PLATAFORMA DE UBARANA 12;Potiguar ;FIXA;Petrobras;-04:55:22,924;-36:20:13,304;13;0;0
PUB13;PLATAFORMA DE UBARANA 13;Potiguar ;FIXA;Petrobras;-04:54:59,013;-36:19:02,671;13;0;0
PUB15;PLATAFORMA DE UBARANA 15;Potiguar ;FIXA;Petrobras;-04:55:46,695;-36:24:24,624;13;0;0
PUB02;PLATAFORMA DE UBARANA 2;Potiguar ;FIXA (CONCRETO);Petrobras;-04:55:50,106;-36:19:26,204;13;30000;1500
PUB03;PLATAFORMA DE UBARANA 3;Potiguar ;FIXA (CONCRETO);Petrobras;-04:55:27,426;-36:22:36,323;13;30000;1500
PUB04;PLATAFORMA DE UBARANA 4;Potiguar ;FIXA;Petrobras;-04:54:35,464;-36:24:45,270;13;0;0
PUB05;PLATAFORMA DE UBARANA 5;Potiguar ;FIXA;Petrobras;-04:56:02,946;-36:21:51,167;13;0;0
PUB06;PLATAFORMA DE UBARANA 6;Potiguar ;FIXA;Petrobras;-04:56:41,986;-36:22:26,972;13;0;0
PUB07;PLATAFORMA DE UBARANA 7;Potiguar ;FIXA;Petrobras;-04:56:42,393;-36:20:40,670;13;0;0
PUB08;PLATAFORMA DE UBARANA 8;Potiguar ;FIXA;Petrobras;-04:55:26,281;-36:21:10,123;13;0;0
PUB09;PLATAFORMA DE UBARANA 9;Potiguar ;FIXA;Petrobras;-04:55:23,729;-36:18:53,208;13;0;0
PVM-1;PLATAFORMA DE VERMELHO-I;Campos ;FIXA;Petrobras;-22:09:33,968;-40:16:49,579;78;12580;60
PVM-2;PLATAFORMA DE VERMELHO-II;Campos ;FIXA;Petrobras;-22:10:26,902;-40:17:35,479;80;12580;60
